instance_id,sol_time,status,solution,objective,gap
UDMIS030EXT,0.001680135726928711,2,110101101010101101101010100101010010101101110010110101010000110110101110101011010010011101,49.0,0.0
UDMIS1TG,0.00038123130798339844,2,10001011,4.0,0.0
UDMIS103EXT,0.002863168716430664,2,1010101010000011010110100000000001101010100000000011010010100000000000101010100100000000001010101101,32.0,0.0
UDMIS048EXT,0.0012462139129638672,2,100101100001001100000001010100000011,12.0,0.0
UDMIS057EXT,0.0019583702087402344,2,101010101000000001010101000001101100000010101010000001010011,21.0,0.0
UDMIS042EXT,0.0008637905120849609,2,1010100000000011100001110,9.0,0.0
UDMIS028EXT,0.0023534297943115234,2,011010101011010101010101001001010111110010110011101101010110101011101010100100101110101010,49.0,0.0
UDMIS092EXT,0.001580953598022461,2,110010100000110101100000000001010100000001101011000001011011,22.0,0.0
UDMIS002EXT,0.00046181678771972656,2,100111010101101,9.0,0.0
UDMIS3TG,0.0008299350738525391,2,1010100000101010000010101,9.0,0.0
UDMIS067EXT,0.002574443817138672,2,1010101010000011010110100000000001101010100000000011010010100000000000101010100100000000001010101101,32.0,0.0
UDMIS043EXT,0.0007989406585693359,2,101100001101000011010000010101,12.0,0.0
UDMIS038EXT,0.0005645751953125,2,100100101100001,6.0,0.0
UDMIS061EXT,0.002249002456665039,2,10100100100010011001010000000100101000001000010011010000100010001000000101010100,24.0,0.0
UDMIS047EXT,0.0015187263488769531,2,110000000011000100101001010010001011,13.0,0.0
UDMIS050EXT,0.001115560531616211,2,1001001001000101001010000001010000010101,13.0,0.0
UDMIS035EXT,0.0027778148651123047,2,110101100101010101010110101010100101011011101011100101010101101101010010101111101010100100101001011010101010100101011001,64.0,0.0
UDMIS073EXT,0.0005793571472167969,2,101000010010110,6.0,0.0
UDMIS093EXT,0.0015926361083984375,2,101010101000000001010101000001101100000010101010000001010011,21.0,0.0
UDMIS012EXT,0.0007295608520507812,2,100101010101011111010101010010110011,20.0,0.0
UDMIS052EXT,0.0014085769653320312,2,1010101000000010100101000001101001000000001010011,16.0,0.0
UDMIS6TG,0.0018811225891113281,2,101001000010001010000100000100001000001000101000000001010101,16.0,0.0
UDMIS036EXT,0.0019919872283935547,2,010110101011110101100110101010110101011100101010101101010111001010101010010110010101111010101101001010101010011110100101,66.0,0.0
UDMIS032EXT,0.0028154850006103516,2,1101101011010101101010101110100101010100101010101101010010100110100101001101101010101010101011010101,53.0,0.0
UDMIS008EXT,0.0011141300201416016,2,101011011111000010110100110110,17.0,0.0
UDMIS4TG,0.0008525848388671875,2,110110011010101,9.0,0.0
UDMIS020EXT,0.0011756420135498047,2,110100101010100101010110101001010101010111101011011011011011,34.0,0.0
UDMIS039EXT,0.0005824565887451172,2,101100010010011,7.0,0.0
UDMIS100EXT,0.002204418182373047,2,100101010101000000100010110001000011001100010001100010100100000001010101010000000110100101,31.0,0.0
UDMIS001EXT,0.0004928112030029297,2,101010101101010,8.0,0.0
UDMIS006EXT,0.0006058216094970703,2,0100110101011011010101110,14.0,0.0
UDMIS007EXT,0.0008261203765869141,2,101101001001011001101110111010,17.0,0.0
UDMIS058EXT,0.0015790462493896484,2,1010101100000010010001010001000001010101010000011100101000000001011101,25.0,0.0
UDMIS081EXT,0.0007987022399902344,2,110000101101000001010101001101,13.0,0.0
UDMIS040EXT,0.0008640289306640625,2,1010000110100001000100101,9.0,0.0
UDMIS9TG,0.004497528076171875,2,101010100101000000010000101010001010000001000010101100010100001000010101010010100000000010101010101010000000000000101010010100000000000001010101010101,45.0,0.0
UDMIS097EXT,0.0021593570709228516,2,10100100100010011001010000000100101000001000010011010000100010001000000101010100,24.0,0.0
UDMIS019EXT,0.002387523651123047,2,101010110100101001101010101101011010011001010001010101110101,31.0,0.0
UDMIS064EXT,0.002193927764892578,2,100101010101000000100010110001000011001100010001100010100100000001010101010000000110100101,31.0,0.0
UDMIS063EXT,0.0027971267700195312,2,10101101000000000110010100000100001100000010101010000001000101010010000010010101,25.0,0.0
UDMIS086EXT,0.001125335693359375,2,1001001001000101001010000001010000010101,13.0,0.0
UDMIS046EXT,0.0009472370147705078,2,100110100000110000101010100000101001,13.0,0.0
UDMIS080EXT,0.0008947849273681641,2,101010001110001010100000010101,12.0,0.0
UDMIS033EXT,0.002846240997314453,2,0101001011010101010101010101011010010101010110101011010111010101001010101101010101011010101011101010,53.0,0.0
UDMIS087EXT,0.0011932849884033203,2,1010010010001000110100010110000001101100,15.0,0.0
UDMIS053EXT,0.001565694808959961,2,1010101000000100110001000010001010010010000101010,16.0,0.0
UDMIS075EXT,0.0005500316619873047,2,101100010010011,7.0,0.0
UDMIS049EXT,0.0011546611785888672,2,1011100001000001100100001000101010001011,15.0,0.0
UDMIS044EXT,0.0008211135864257812,2,101010001110001010100000010101,12.0,0.0
UDMIS8TG,0.0015888214111328125,2,10010101101000010001111011001001010101000100001011010000010111000100010100011011,34.0,0.0
UDMIS107EXT,0.003127574920654297,2,110101010100000000000110100101000000000001101011010000000001100000101001001001000000011001010100010000001000001010100101,36.0,0.0
UDMIS079EXT,0.0008025169372558594,2,101100001101000011010000010101,12.0,0.0
UDMIS104EXT,0.002626180648803711,2,1101101010000000001010101110000000000001001010110000000010000111001000000101101000000000001011010101,32.0,0.0
UDMIS013EXT,0.0011239051818847656,2,1011101010111101110101010101000010111100,23.0,0.0
UDMIS101EXT,0.002324342727661133,2,010110111000000000011011000000000001010011000001000101001010000000011010111000000101010101,30.0,0.0
UDMIS026EXT,0.0020668506622314453,2,01011111010101010010101010100101011010101101010101010101011110101010101100101010,43.0,0.0
