logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,R,version,success,sol_time,obj_from_QPU_sol
./run_logs/quera/result_UDMIS026EXT_N80_W1.0_R0.1.orig_1700088055.04374.json,1700088055.04374,1700088112.822733,UDMIS026EXT,UDMIS,80,1.25,1.1,True,57.778992891311646,29
./run_logs/quera/result_UDMIS015EXT_N40_W1.0_R0.2.orig_1700089717.263135.json,1700089717.263135,1700089775.345524,UDMIS015EXT,UDMIS,40,1.25,1.1,True,58.08238911628723,19
./run_logs/quera/result_UDMIS025EXT_N80_W1.0_R0.1.orig_1700089212.349872.json,1700089212.349872,1700089269.496762,UDMIS025EXT,UDMIS,80,1.25,1.1,True,57.14688992500305,30
./run_logs/quera/result_UDMIS094EXT_N70_W1.0_R0.2.orig_1700087822.532585.json,1700087822.532585,1700087880.239149,UDMIS094EXT,UDMIS,70,1.85,1.1,True,57.70656418800354,18
./run_logs/quera/result_UDMIS047EXT_N36_W1.0_R0.2.orig_1700087707.161719.json,1700087707.161719,1700087764.717416,UDMIS047EXT,UDMIS,36,1.42,1.1,True,57.555696964263916,13
./run_logs/quera/result_UDMIS010EXT_N36_W1.0_R0.2.orig_1700090061.419609.json,1700090061.419609,1700090118.658287,UDMIS010EXT,UDMIS,36,1.25,1.1,True,57.238677978515625,17
./run_logs/quera/result_UDMIS052EXT_N49_W1.0_R0.2.orig_1700090290.547329.json,1700090290.547329,1700090348.434919,UDMIS052EXT,UDMIS,49,1.42,1.1,True,57.887590169906616,16
./run_logs/quera/result_UDMIS006EXT_N25_W1.0_R0.2.orig_1700089269.50915.json,1700089269.50915,1700089325.77034,UDMIS006EXT,UDMIS,25,1.25,1.1,True,56.26118993759155,12
./run_logs/quera/result_UDMIS087EXT_N40_W1.0_R0.2.orig_1700089440.73601.json,1700089440.73601,1700089498.816038,UDMIS087EXT,UDMIS,40,1.85,1.1,True,58.08002781867981,12
./run_logs/quera/result_UDMIS067EXT_N100_W1.0_R0.1.orig_1700090232.287383.json,1700090232.287383,1700090290.543371,UDMIS067EXT,UDMIS,100,1.42,1.1,True,58.255987882614136,29
./run_logs/quera/result_UDMIS065EXT_N90_W1.0_R0.1.orig_1700092654.971045.json,1700092654.971045,1700092711.836118,UDMIS065EXT,UDMIS,90,1.42,1.1,True,56.86507296562195,28
./run_logs/quera/result_UDMIS060EXT_N70_W1.0_R0.1.orig_1700091560.724581.json,1700091560.724581,1700091621.257161,UDMIS060EXT,UDMIS,70,1.42,1.1,True,60.53257989883423,23
./run_logs/quera/result_UDMIS041EXT_N25_W1.0_R0.2.orig_1700090118.660085.json,1700090118.660085,1700090175.059126,UDMIS041EXT,UDMIS,25,1.42,1.1,True,56.399040937423706,9
./run_logs/quera/result_UDMIS4TG_N15_W1.0_R0.2.orig_1698263166.346001.json,1698263166.346001,1698263415.35159,UDMIS4TG,UDMIS,15,1.5,1.0,True,249.0055890083313,9
./run_logs/quera/result_UDMIS101EXT_N90_W1.0_R0.2.orig_1700087764.718704.json,1700087764.718704,1700087822.527993,UDMIS101EXT,UDMIS,90,1.85,1.1,True,57.80928897857666,21
./run_logs/quera/result_UDMIS056EXT_N60_W1.0_R0.2.orig_1700092137.874454.json,1700092137.874454,1700092195.240854,UDMIS056EXT,UDMIS,60,1.42,1.1,True,57.36640000343323,21
